bodeguita(1)^raghida,bodeguita(1)
bubbling(0)^doubling(0)^redoubling(0)^troubling(0),redoubling(0)
occupied^preoccupied^unoccupied,preoccupied^unoccupied
ferreting^inheriting^meriting,inheriting
altimorano^martorano^morano^soranno^zamorano,martorano^zamorano
acidity^fluidity^humidity^liquidity(0)^morbidity^rapidity^rigidity^solidity^superfluidity^timidity^turbidity,acidity^fluidity^humidity^liquidity(0)^morbidity^rapidity^rigidity^solidity^timidity^turbidity
approvingly^movingly,approvingly
horiguchi^taniguchi,horiguchi^taniguchi
expressionist^impressionist(0),expressionist^impressionist(0)
directory(0)^directory(1)^directory(2)^directory(3)^rectory^trajectory,directory(0)^directory(1)^directory(2)^directory(3)^trajectory
causative(0)^dispositive^positive,dispositive
compatriots^expatriates(1)^patriot's^patriots,compatriots^expatriates(1)
accuracy^confederacy(0)^degeneracy^illiteracy^inaccuracy^literacy,accuracy^literacy
fabricators^syndicators,fabricators^syndicators
allocator^applicator^communicator^educator(0)^indicator^pontificater^prognosticater,allocator^applicator^educator(0)^indicator
bonuses^kotsonis's(0)^kotsonis's(1),kotsonis's(0)^kotsonis's(1)
barometer^photometer^tensiometer,barometer^photometer
serafina^seraphina,serafina^seraphina
apparition^rhetorician,apparition^rhetorician
prosecutor's^prosecutors,prosecutor's^prosecutors
cerrato^imperato^liberato^naccarato^serrato,imperato^liberato^naccarato
affinities^divinities,affinities^divinities
surrealistic(0)^unrealistic,surrealistic(0)^unrealistic
misrepresented(0)^represented(1)^underrepresented^unrepresented,represented(1)
correia^gouveia,correia^gouveia
colaluca^molucca,colaluca
kataoka^muraoka,kataoka^muraoka
bahrainian(1)^iranian(0)^subramanian,bahrainian(1)^iranian(0)
amiably^invariably^variably,amiably^variably
cappadona^caradonna^daddona^ricadonna,cappadona^caradonna^ricadonna
artificially^beneficially^initially^judicially^officially^unofficially,initially^judicially^officially
approximately^intimately^legitimately^ultimately,intimately^ultimately
allegations^congregation's^congregations^conjugations^delegation's^delegations^interrogations^investigations^litigations^obligations,allegations^congregation's^congregations^conjugations^delegation's^delegations^litigations^obligations
kawaguchi^ragucci^sakaguchi^yamaguchi,kawaguchi^sakaguchi^yamaguchi
americans^american's^americans'^americans^transamerican's,americans^american's^americans'^americans
abler(0)^babler^cabler(0)^enabler(0)^enabler(3)^gabler(0)^kabler(0)^stabler(0)^tabler(0),enabler(0)^enabler(3)
intermolecular^molecular^secular,molecular
quantitative(0)^quantitative(1),quantitative(0)^quantitative(1)
coordinate(1)^insubordinate(0)^subordinate(0),coordinate(1)^subordinate(0)
crustacean^devastation^incrustation^reforestation,devastation^incrustation
intermission^permission,intermission
creditably^inevitably^profitably,creditably^profitably
eusebio^toribio,eusebio^toribio
juxtaposing^opposing^proposing^supposing,juxtaposing
elgabrowny^gabrowny,elgabrowny
analyses^fallacies,analyses
coordinate(0)^insubordinate(1)^subordinate(1),coordinate(0)^subordinate(1)
bonilla^fontanilla^manila^manilla^manzanilla^petronilla^quintanilla^vanilla,fontanilla^manzanilla^petronilla^quintanilla
blasia^gelasia^grassia^horacia^rasia,gelasia^horacia
addition^edition(0)^erudition^expedition^extradition^tradition,erudition^expedition^extradition
counterclockwise(0)^counterclockwise(1),counterclockwise(0)^counterclockwise(1)
furino^tamburrino^venturino,tamburrino^venturino
bartoletti^coletti^colletti^nicoletti(0)^paoletti^poletti,bartoletti^nicoletti(0)^paoletti
enterprising(0)^enterprising(1),enterprising(0)^enterprising(1)
pingitore^tessitore,pingitore^tessitore
oberholtzer^overholtzer,oberholtzer^overholtzer
castellana^orellana,castellana^orellana
factory^olfactory^refractory^satisfactory(1)^unsatisfactory,olfactory^refractory
alphabetizes^democratizes^dramatizes^prioritizes,dramatizes
pseudoscientific^scientific^unscientific,scientific
donovan^o'donovan^odonovan,o'donovan^odonovan
anticipating^dissipating^emancipating^participating,dissipating
enterprise's(0)^enterprise's(2),enterprise's(0)^enterprise's(2)
cappuccio^castelluccio^coluccio^cuccio^galluccio^guccio^muccio^nuccio^puccio,cappuccio^coluccio^galluccio
colombia's^columbia's^cumbia^cumbias,colombia's^columbia's
benito(0)^carpenito^ingenito(0)^ingenito(1),carpenito^ingenito(0)^ingenito(1)
'end-inner-quote^'inner-quote,'end-inner-quote
thomasina(0)^thomasina(1),thomasina(0)^thomasina(1)
benefiting^benefitting,benefiting^benefitting
inundations^recommendations,inundations
oliveros^ontiveros^viveros,oliveros^ontiveros
appendectomies^lumpectomies^mastectomies^tonsillectomies^vasectomies^vasectomies,lumpectomies^mastectomies^vasectomies^vasectomies
artisan^nonpartisan^partisan,nonpartisan
innovation(1)^ovation,innovation(1)
inaudible^laudable,inaudible
perfectionist(1)^protectionist(0)^protectionist(1)^rejectionist(0)^rejectionist(1),perfectionist(1)^protectionist(0)^protectionist(1)^rejectionist(0)^rejectionist(1)
information's^informations^information's^informations,information's^informations^information's^informations
albania^compania^dromomania(0)^germania^lithuania^lusitania^mania^mauritania(0)^megalomania^pomerania^romania^rumania^ruritania^sylvania^tanzania(0)^tasmania^transylvania(0)^zenia,albania^compania^germania^romania^rumania^sylvania^tanzania(0)^tasmania
interventions(0)^interventions(1),interventions(0)^interventions(1)
accuracies^confederacy's(0),accuracies
abyssinia^linnea^pollinia^prolinea^wynia^zinnia,abyssinia^pollinia^prolinea
affected(1)^disaffected^unaffected,disaffected^unaffected
availabilities^disabilities(1)^disability(1)^facilities(1)^facility's^instabilities^liabilities(1)^sensibilities^vulnerabilities,facilities(1)^facility's
affectionately^compassionately^definitely^dispassionately^disproportionately^fortunately(0)^indefinitely^indiscriminately^infinitely^inordinately^passionately^proportionately^unfortunately(0),definitely^fortunately(0)^infinitely^passionately
antonacci^bonacci,antonacci
meriweather^meriwether^merriwether,meriweather^meriwether^merriwether
reunify^unify,reunify
bienkowski^binkowski^marcinkowski^pinkowski^winkowski,marcinkowski
bowermaster^quartermaster(0)^quartermaster(1),bowermaster^quartermaster(0)^quartermaster(1)
cytoplasm^neoplasm,cytoplasm^neoplasm
disorganize^organize^reorganize,disorganize^reorganize
energizing^self-energizing,energizing
dorians^historians^ivorians^kerkorian's^singaporeans^victorians,historians^ivorians^kerkorian's^victorians
illusionist's^illusionists(0),illusionist's^illusionists(0)
intercepted(1)^intercepted(3),intercepted(1)^intercepted(3)
confidential(1)^nonresidential(1)^presidential(0)^providential,confidential(1)^presidential(0)^providential
abbreviation^affiliation^alleviation^appreciation^appropriation^association(0)^association(1)^aviacion^aviation^conciliation^creation^d'aviation^delineation^denunciation^depreciation^deviation^differentiation(0)^differentiation(1)^dissociation^exfoliation^expatriation^expropriation^foliation^glaciation^humiliation^initiation^instantiation^irradiation^mediation^misappropriation^miscreation^negotiation^nucleation^procreation^pronunciation(0)^pronunciation(1)^radiation^reaffiliation^reconciliation^recreation^remediation^renegotiation^renunciation^repatriation^repudiation^retaliation^substantiation(0)^substantiation(1)^variation,aviacion^aviation^d'aviation^deviation^foliation^glaciation^mediation^miscreation^nucleation^procreation^radiation^recreation^variation
whistleblowers^whistleblowers,whistleblowers^whistleblowers
community(0)^disunity^immunity(0)^opportunity,community(0)^disunity^immunity(0)
himalayan(0)^malayan,himalayan(0)
anatolia^mendolia^mongolia(0)^petrolia,mendolia^mongolia(0)^petrolia
misrecognized^recognized^unrecognized,misrecognized^unrecognized
breakable^unbreakable^unmistakable^unshakable^unshakeable,unbreakable^unshakable^unshakeable
grandmotherly(0)^grandmotherly(1)^grandmotherly(2),grandmotherly(0)^grandmotherly(1)^grandmotherly(2)
archaeological^archeological^astrological^biological^biotechnological^chronological^dermatological^ecological(0)^ecological(1)^epidemiological^eschatological^geological^gynecological^ideological^illogical^immunological^logical^meteorological^methodological^morphological^mythological^neurological^ontological^pathological^pedagogical^pharmacological^phonological^physiological^psychological^radiological^sociological^technological^theological^topological^toxicological^virological^zoological,illogical^zoological
pappadio^radio,pappadio
dieting^disquieting^quieting^rioting,disquieting
montevideo(0)^presidio^televideo^video,presidio
designing^redesigning^resigning(0),redesigning
rigoletto^stiletto,rigoletto
accommodations^accreditations^degradations^depredations,degradations^depredations
consumerists(2)^humorists(2),consumerists(2)
covia^monrovia^novia^segovia^tovia(0)^wachovia,monrovia^segovia^wachovia
arbitrager^arbitrageur,arbitrager^arbitrageur
chattanooga^chattanuga,chattanooga^chattanuga
aficionado^maldonado^toronado,maldonado^toronado
delossantos^dossantos,delossantos
filibusters^fillibusters,filibusters^fillibusters
construction^deconstruction^reconstruction,deconstruction^reconstruction
bolivia's^olivia's,bolivia's^olivia's
anatolian^holian^holien^mongolian(0)^napoleon(0),mongolian(0)^napoleon(0)
mcgilvery^silvery,mcgilvery
romagnoli^spagnoli,romagnoli
halogenate^hydrogenate^oxygenate,halogenate^hydrogenate^oxygenate
analysis(1)^dialysis(1)^paralysis(1)^psychoanalysis(1),analysis(1)^dialysis(1)^paralysis(1)
phenolphthalein(0)^phenolphthalein(1),phenolphthalein(0)^phenolphthalein(1)
cycling(0)^recycling(0)^reichling(0),recycling(0)
battaglini^travaglini,battaglini^travaglini
internationally(1)^internationally(3)^irrationally(1)^nationally(1)^rationally(1),irrationally(1)
formaldehyde(0)^formaldehyde(1),formaldehyde(0)^formaldehyde(1)
accredited^credited(1)^discredited^edited(1)^unaccredited,accredited^discredited
agricola^decola^dicola^mikkola^nicola^nikola,agricola
assertively^furtively,assertively
devincenzo^divincenzo,devincenzo^divincenzo
crasnianski^kuriansky,crasnianski^kuriansky
dataproducts'(0)^dataproducts'(1),dataproducts'(0)^dataproducts'(1)
development's^developments,development's^developments
farinacci^lupinacci,farinacci^lupinacci
cherubini^marubeni,cherubini^marubeni
contributions^distributions,contributions^distributions
audiotronics^endotronics^photronics,endotronics
aggregated^corrugated(0)^delegated^investigated(0),aggregated^corrugated(0)^delegated
sandinistas^sandinistas',sandinistas^sandinistas'
lemercier^mercier,lemercier
cardenas's^catacosinos's^salinas's^selinas's,cardenas's^salinas's^selinas's
benevolent^malevolent^prevalent,benevolent^malevolent
disqualifies^qualifies,disqualifies
emphasizes(1)^fantasizes(0)^fantasizes(1)^overemphasizes,emphasizes(1)^fantasizes(0)^fantasizes(1)
miyazaki^narazaki^okazaki^yamazaki,miyazaki^narazaki^okazaki^yamazaki
affectively^collectively^effectively(0)^objectively^prospectively^protectively(0)^protectively(1)^respectively^retrospectively^selectively,affectively^collectively^effectively(0)^objectively^prospectively^protectively(0)^protectively(1)^respectively^selectively
arianna's^briana's(0)^brianna's^indiana's^louisiana's^piano's^pianos^piano's^pianos,arianna's^indiana's
adventurer(0)^adventurer(1),adventurer(0)^adventurer(1)
eliciting^soliciting,eliciting^soliciting
berlascone's^berlusconi's,berlascone's^berlusconi's
nonpoisonous^poisonous,nonpoisonous
antonelli^bonelli^simonelli^tonelli,antonelli^simonelli
carolina's^carolinas,carolina's^carolinas
benefactor^malefactor(0),benefactor^malefactor(0)
conservatives^conservatives'^neoconservatives^preservatives,conservatives^conservatives'^preservatives
albanese^annese^catanese^chianese^danese^lanese,albanese^catanese^chianese
databases(0)^databases(1),databases(0)^databases(1)
government(1)^misgovernment^nongovernment^self-government,misgovernment^nongovernment^self-government
alexander(1)^mcalexander,alexander(1)
barganier^trepanier,barganier^trepanier
aviano's^feliciano's(0)^feliciano's(1),aviano's
governmental(1)^intergovernmental^nongovernmental,governmental(1)
wy^wy,wy^wy
dehydrated^hydrated,dehydrated
entity(0)^identity(0)^nonentity,identity(0)^nonentity
anemone(1)^gemini(1)^hegemony,anemone(1)^hegemony
desensitize^sensitize,desensitize
adjudicated^advocated(1)^allocated^communicated^duplicated(1)^eradicated^extricated^indicated(1)^lubricated^misallocated^pontificated^predicated^prognosticated^reallocated^reciprocated^sophisticated(0)^suffocated^unallocated^uncomplicated^vindicated,advocated(1)^allocated^duplicated(1)^extricated^indicated(1)^lubricated^predicated^suffocated^vindicated
ephemeral^femoral,ephemeral
contribution^distribution^redistribution^retribution,contribution^distribution^retribution
alaster^mcalister^mcallister^mccalister^mccallister,mcalister^mcallister^mccalister^mccallister
activation^aggravation^depravation^deprivation^derivation^elevation^excavation^innovation(0)^motivation^renovation,activation^aggravation^depravation^deprivation^derivation^elevation^excavation^innovation(0)^motivation^renovation
casamento^divertimento^sacramento,casamento^sacramento
entanglements(0)^entanglements(1),entanglements(0)^entanglements(1)
ghorbanifar(2)^stanifer,ghorbanifar(2)
holewinski^lewinski(0)^lewinsky(0),holewinski
indigenous^polygynous,indigenous^polygynous
angelone^angeloni^bellone^melone^meloni,angelone^angeloni
attenuated^devaluated^graduated(0)^infatuated^insinuated^punctuated^reevaluated^situated,graduated(0)^punctuated^situated
imperfection^perfection,imperfection
inhibiting^prohibiting,inhibiting^prohibiting
amended(1)^commended^recommended(1)^unamended,recommended(1)^unamended
skulduggery^thuggery,skulduggery
inhumanity^insanity(0)^manatee^profanity^sanity,insanity(0)^profanity
santa-croce(0)^santa-croce(1),santa-croce(0)^santa-croce(1)
abomination^alienation^antidiscrimination(0)^antidiscrimination(1)^assassination^combination^concatenation^contamination^coordination^coronation^culmination^decaffeination^decontamination^denomination^destination(0)^determination^detonation^discrimination^disinclination^dissemination^divination^domination^elimination^emanation^examination^explanation^extermination^fascination^germination^hallucination^hydrogenation^hyphenation^illumination^imagination^impersonation^inclination^incoordination^incrimination^indoctrination^insemination^insubordination^intonation^machination(0)^machination(1)^nomination^ordination^origination^pagination^pollination^predestination^procrastination^profanation^reexamination^rejuvenation^renomination^self-determination^subordination^termination^transillumination^vaccination,combination^coronation^culmination^destination(0)^detonation^divination^domination^emanation^explanation^fascination^germination^hyphenation^inclination^intonation^machination(0)^machination(1)^nomination^ordination^pagination^pollination^profanation^termination^vaccination
outperformer^performer,outperformer
dimiceli^miceli^patricelli^puricelli,dimiceli^patricelli^puricelli
badolato^pizzolato,badolato^pizzolato
defazio(0)^dorazio(0)^fazio(1)^roggio,defazio(0)^dorazio(0)
delapena^lapenna,delapena
implantation^plantation^recantation(1)^transplantation,implantation^recantation(1)^transplantation
